date,high,low,humidity,pressure
6/29/2019,87.43,75.12,0.74,1020.4
6/30/2019,89.58,77.09,0.72,1017.1
7/1/2019,93.8,78.13,0.69,1014.55
7/2/2019,94.43,79.69,0.7,1013.77
7/3/2019,93.89,80.02,0.69,1013.12
7/4/2019,92.63,77.63,0.75,1015.16
7/5/2019,91.65,75.6,0.76,1018.53
7/6/2019,88.37,68.28,0.83,1014.2
7/7/2019,83.88,59.88,0.74,1015.61
7/8/2019,82.13,58.33,0.62,1017.19
7/9/2019,86.76,68.75,0.66,1016.77
7/10/2019,93.18,66.35,0.69,1013.11
7/11/2019,80.32,54.17,0.7,1012.32
7/12/2019,81.54,63.8,0.67,1014.76
7/13/2019,90.88,69.09,0.67,1015.18
7/14/2019,89.7,69.15,0.63,1018.98
7/15/2019,90.45,69.71,0.67,1017.53
7/16/2019,85.04,71.81,0.82,1013.83
7/17/2019,89.49,72.12,0.79,1012.24
7/18/2019,85.49,78.05,0.86,1011.58
7/19/2019,93.54,71.87,0.77,1010.54
7/20/2019,93.52,71.81,0.77,1012.17
7/21/2019,85.79,64.12,0.91,1012.72
7/22/2019,72.98,53.43,0.77,1015.55
7/23/2019,79.25,58.86,0.65,1016.54
7/24/2019,79.5,60.38,0.68,1019.16
7/25/2019,83.16,64.2,0.64,1021.91
7/26/2019,84.76,67.57,0.64,1023.63
7/27/2019,86.49,71.05,0.64,1021.19
7/28/2019,89.24,71.42,0.64,1017.75
7/29/2019,87.43,69.92,0.73,1013.71
7/29/2019,79.47,67.6,0.74,1011.04
7/30/2019,74.53,64.04,0.7,1015.61
7/31/2019,79.71,62.43,0.77,1018.49
8/1/2019,81.25,58.24,0.66,1021.0
8/2/2019,82.34,60.53,0.63,1020.2
8/3/2019,85.21,63.59,0.62,1017.88
8/4/2019,84.8,64.39,0.7,1016.07
8/5/2019,89.61,71.26,0.69,1013.8
8/6/2019,81.29,65.55,0.83,1008.92
8/7/2019,84.64,67.84,0.75,1009.14
8/8/2019,84.72,59.01,0.64,1008.64
8/9/2019,80.99,58.88,0.6,1012.52
8/10/2019,94.39,77.87,0.8,1014.38
8/11/2019,93.97,72.61,0.8,1014.46
8/12/2019,92.09,73.4,0.84,1013.91
8/13/2019,93.59,74.79,0.83,1013.39
8/14/2019,91.74,75.75,0.83,1013.86
8/15/2019,84.79,74.14,0.91,1014.91
8/16/2019,77.39,71.34,0.95,1016.05
8/17/2019,76.16,72.74,0.95,1017.86
8/18/2019,81.67,72.74,0.92,1019.24
8/19/2019,85.63,72.59,0.87,1019.14
8/20/2019,91.32,71.93,0.84,1019.88
8/21/2019,92.71,73.08,0.79,1019.37
8/22/2019,93.38,72.45,0.77,1018.1
8/23/2019,93.43,72.88,0.76,1016.75
8/24/2019,93.34,74.36,0.78,1015.37
8/25/2019,89.9,72.57,0.83,1015.25
8/26/2019,92.0,72.09,0.83,1015.67
8/27/2019,89.6,72.99,0.89,1015.34
8/28/2019,91.65,73.61,0.82,1013.56
8/29/2019,93.46,73.35,0.77,1014.51
8/30/2019,86.86,75.23,0.87,1015.96
8/31/2019,91.4,76.0,0.81,1016.5
9/1/2019,86.33,75.94,0.86,1015.8
9/2/2019,88.17,75.66,0.86,1012.68
9/3/2019,87.17,74.87,0.84,1011.04
9/4/2019,87.55,76.67,0.8,1008.96
9/5/2019,94.62,74.86,0.71,1011.47
9/6/2019,94.28,68.26,0.71,1012.19
9/7/2019,95.52,69.82,0.7,1013.7
9/8/2019,95.83,70.4,0.73,1016.21
9/9/2019,95.38,72.42,0.74,1019.41
9/10/2019,93.51,71.31,0.76,1022.13
9/11/2019,92.35,72.0,0.78,1021.34
9/12/2019,90.45,73.46,0.77,1018.38
9/13/2019,88.31,72.81,0.8,1018.46
9/14/2019,90.42,74.25,0.78,1018.03
9/15/2019,88.06,73.24,0.83,1015.77
9/16/2019,92.8,69.73,0.75,1015.32
9/17/2019,95.89,67.7,0.69,1014.62
9/18/2019,91.99,69.86,0.75,1015.75
9/19/2019,85.69,68.21,0.75,1018.48
9/20/2019,86.29,68.24,0.75,1020.95
9/21/2019,86.06,66.38,0.73,1022.28
9/22/2019,88.16,67.22,0.73,1020.64
9/23/2019,88.19,62.18,0.72,1017.93
9/24/2019,92.74,67.87,0.71,1013.8
9/25/2019,95.1,71.86,0.73,1012.93
9/26/2019,94.22,72.97,0.75,1013.48
9/27/2019,93.6,67.32,0.74,1015.43
9/28/2019,89.05,67.15,0.77,1019.09
9/29/2019,90.53,72.1,0.77,1020.55
9/30/2019,91.61,72.97,0.78,1019.18
10/1/2019,90.64,70.54,0.79,1017.06
