timestamp,high,low,humidity,pressure
1565424000,94.39,77.87,0.8,1014.38
1565510400,93.97,72.61,0.8,1014.46
1565596800,92.09,73.4,0.84,1013.91
1565683200,93.59,74.79,0.83,1013.39
1565769600,91.74,75.75,0.83,1013.86
1565856000,84.79,74.14,0.91,1014.91
1565942400,77.39,71.34,0.95,1016.05
1566028800,76.16,72.74,0.95,1017.86
1566115200,81.67,72.74,0.92,1019.24
1566201600,85.63,72.59,0.87,1019.14
1566288000,91.32,71.93,0.84,1019.88
1566374400,92.71,73.08,0.79,1019.37
1566460800,93.38,72.45,0.77,1018.1
1566547200,93.43,72.88,0.76,1016.75
1566633600,93.34,74.36,0.78,1015.37
1566720000,89.9,72.57,0.83,1015.25
1566806400,92.0,72.09,0.83,1015.67
1566892800,89.6,72.99,0.89,1015.34
1566979200,91.65,73.61,0.82,1013.56
1567065600,93.46,73.35,0.77,1014.51
1567152000,86.86,75.23,0.87,1015.96
1567238400,91.4,76.0,0.81,1016.5
1567324800,86.33,75.94,0.86,1015.8
1567411200,88.17,75.66,0.86,1012.68
1567497600,87.17,74.87,0.84,1011.04
1567584000,87.55,76.67,0.8,1008.96
1567670400,94.62,74.86,0.71,1011.47
1567756800,94.28,68.26,0.71,1012.19
1567843200,95.52,69.82,0.7,1013.7
1567929600,95.83,70.4,0.73,1016.21
1568016000,95.38,72.42,0.74,1019.41
1568102400,93.51,71.31,0.76,1022.13
1568188800,92.35,72.0,0.78,1021.34
1568275200,90.45,73.46,0.77,1018.38
1568361600,88.31,72.81,0.8,1018.46
1568448000,90.42,74.25,0.78,1018.03
1568534400,88.06,73.24,0.83,1015.77
1568620800,92.8,69.73,0.75,1015.32
1568707200,95.89,67.7,0.69,1014.62
1568793600,91.99,69.86,0.75,1015.75
1568880000,85.69,68.21,0.75,1018.48
1568966400,86.29,68.24,0.75,1020.95
1569052800,86.06,66.38,0.73,1022.28
1569139200,88.16,67.22,0.73,1020.64
1569225600,88.19,62.18,0.72,1017.93
1569312000,92.74,67.87,0.71,1013.8
1569398400,95.1,71.86,0.73,1012.93
1569484800,94.22,72.97,0.75,1013.48
1569571200,93.6,67.32,0.74,1015.43
1569657600,89.05,67.15,0.77,1019.09
1569744000,90.53,72.1,0.77,1020.55
1569830400,91.61,72.97,0.78,1019.18
1569916800,90.64,70.54,0.79,1017.06
