date,morning,middle,night
8/13/2019,good,okay-bad,bad
8/14/2019,good,okay-okay-good,good
8/15/2019,good,good,good
8/16/2019,good,good,good
8/17/2019,good,good,good
8/18/2019,good,good,good
8/19/2019,good,okay,okay-good
8/20/2019,okay,okay-good-good,good-okay-okay
8/21/2019,okay-okay-good,good,good
8/22/2019,good,good-okay,okay-bad-okay
8/23/2019,good-good-okay,okay,bad-bad-okay
8/24/2019,good,good,good
8/25/2019,good,good,good
8/26/2019,good,good-okay,okay-bad
8/27/2019,okay,okay,okay-bad
8/28/2019,good,good,good-okay-okay
8/29/2019,okay,okay-okay-bad,bad
8/30/2019,okay,okay-good-okay,okay-bad
8/31/2019,good,good,good-okay-okay
9/1/2019,good,good,okay
9/2/2019,bad-okay,okay,okay-okay-good
9/3/2019,good,good,good
9/4/2019,good,good,okay-bad
9/5/2019,good,good,good
9/6/2019,good,good,okay
9/7/2019,good,bad-bad-okay,okay-okay-bad
9/8/2019,good,good-okay,okay
9/9/2019,good,good-okay,okay-bad
9/10/2019,bad-okay,okay-good-good,good-okay-good
9/11/2019,okay,okay-okay-good,good-okay-okay
9/12/2019,good,good-okay,okay-good-okay
9/13/2019,good,good,good
9/14/2019,good,okay,okay-bad-bad
9/15/2019,okay,good,good-good-okay
